response_index,response
97,"From the many reviews that I have read, guests of Cityroomz all rave about how friendly and courteous the staff was."
98,"The Acorn is not very close to the city center so some guests were pretty let down that the nightlife was so far away. However, the guests who were looking for peace and quiet were happy with the location. Would you like to know more about them?"
99,"In terms of room sizes, the Alexander Bed and Breakfast has mixed reviews, as customers tend to judge their offerings to be tiny and impossible to hot multiple people comfortably."
100,"Customers tend to rave about the service at Restaurant Two Two, saying they have amazing staff that's helpful and about to recommend good dishes."
102,"The guests that have stayed at the Cityroomz are split when it comes to the size of the rooms, some saying they're tiny and the rest, sizable."
106,"No, one of the downsides mentioned about the University Arms Hotel is the presence of annoying outside noise sources."
108,"Hobsons House Wi-Wi is free to use, but I did read that it can be slow at times. Do you have any other questions about the hotel?"
109,"I can't give you too many specifics as they aren't available, but there is indeed outdoor dining at Little Seoul."
110,"Yes, COTE has a very nice area to dine outdoors. Would you like to know more about them or book a table?"
112,The atmosphere at the Ask Restaurant is seen as being beautiful and guests have enjoyed dining at Zizi Cambridge as well.
113,Customers seem to have a good time at Zizzi Cambridge while those at the Ask Restaurant viewed the atmosphere as beautiful.
114,"Yes, you can sit outside at Curry Prince and one past guest said that the outdoor seating area was cozy while another said it was relaxing."
116,"Yes, there are non-alcoholic drink options available when dining at the Meghna restaurant, however, some customers were disappointed in the selection."
118,The Pizza Hut Fen Ditton is known for their very generous portions of food. Would you like to know more about this restaurant?
119,The service at Zizzi Cambridge is best described as uneven. Some nights are fun and others will make you wonder if the waitstaff is sleeping. Would you still like to keep your reservation?
121,"While the staff can be disrespectful and rude at times, for the most part, guests are pleased with the responsive, helpful service at University Arms Hotel."
122,"Without exception, reviews noted the friendly service at Cityroomz. Can I answer any other questions about the hotel?"
125,"The reviews are mixed on the portions with half of the customers thinking the portion sizes were generous while the other half thought they were really small, puny even. Would you like to know more about them or should I look for another place?"
126,"According to two cuistomer reviews that I found, the Cotto has nice decor. Would you like to know anything else?"
128,"Yes. At the Autumn House, guests have noted the size of the rooms (large) and they are also quiet rooms."
129,"The majority of the reviews regarding bathroom cleanliness were positive saying the rooms were nice and clean. However, there was a complaint that the bathroom was not as clean as it should have been. Would you like to know more about the Lensfield or would you like me to check into other places?"
130,"Yes, Cote has a nice area for outdoor dining. Would you like me to book you a table to eat outdoors?"
131,"Yes, there is stable internet at Alexander Bed and Breakfast. Past guests have commented on the fast internet."
132,El Shaddai charges their guests a fee for using the WiFi at a rate of 10 GBP. Is there anything else I can help you with?
133,"according to the reviews that I have on hand for this location, responses indicated it does have tables outside as well as outdoor seating in general."
134,"Yes, the indoor dining area is decorated in a very nice way, guests said that it was very modern and had nice marble."
135,They have a wide or limited number of non-alcoholic drinks. I do not have any information about the alcoholic drinks.
136,"Some customers have stated that the rooms at the Avalon are loud, but others have stated that they are quiet and useful for working in."
139,Certainly. Most guests to Acorn Guest House noted that their rooms were very clean. Do you have any other questions?
141,"Unfortunately, previous customers have noted that the Missing Sock's decor is unkempt and far from pleasantly decorated."
144,"Yes, I can tell you what the atmosphere is like at the Meze Bar Restaurant. The environment according to past users is ""cheap"" and a ""downer"" if there is no live music."
148,According to some of the reviews left by previous guests the internet connection was fast  but some others stated that it was slow.
149,"Most guests at the Alpha-Milton Guest House find the bathrooms spotless, incredibly clean, and well appointed, but some guests might find them less clean than others elsewhere."
150,One customer liked the location because of its proximity to their place but other customers said that the location was not desirable as it was in a back alley.
152,"According to the reviews I have on hand for that location, the rooms are impeccable, and really or exceptionally clean."
153,"Yes, the staff at the Alexander Bed and Breakfast is exceptionally friendly and courteous to those staying at the hotel."
159,"According to the reviews I have on hand for that location, the rooms have been described as not very clean and could be cleaner."
161,"The University Arms Hotel has a staff that is friendly and helpful generally, but when troubleshooting specific issues they may be rude or disrespectful."
165,The Kymmoy has authentic decor and a modern atmosphere according to two reviewers. Do you want a reservation?
166,It is according to some of the reviews left by the previous customers.  However there are some customers who stated that the location is just mediocre.
167,"Yes, this Chinese restaurant The Hotpot does provide alcoholic beverage options, but the quality is somewhat lacking."
171,"I can't tell you for sure, but it is located right off of a highway exit, so some guests say it is in a good location. Another guest says the location is a bit of a pain to get to, though."
173,The Carolina Bed and Breakfast is known for having really friendly staff. I couldn't find any bad remarks about them!
174,The restaurant is located in the best place offering easy access and convenience to very many attractions.
176,The breakfast options provided to guests that stay at the Worth House are seen as being delicious and convenient.
180,Panahar gets good reviews on their atmosphere and decor. Would you like to know anything else about them?
181,"No, the WiFi is free, but some guests have complained that it's not very fast. Will that work for you or should I find another option?"
183,"Yes, Thanh Binh has a wide selection of non-alcoholic beverages on their menu. Would you like to make a reservation?"
184,All of the reviews I found said that the rooms there are very big. Would you like a reservation with them?
185,"While the location of the Acorn Guest House can be considered safe and comfortable, it's far from the center of the city, which leaves guests with mixed opinions."
186,"I found two people that say the Prezzo has good service, and one person that said the service was just okay."
188,I could only find good things that were said about the staff at the gonville hotel. Would you like to book a reservation there?
189,The reviews were split with some finding service to be prompt and outstanding and others thought their server was inattentive and service was not great. Do you have any further questions?
192,The majority of Ashley guests feel they got a great deal considering the price. There were also guests who thought it was a bit overpriced. Would you like to know more about them?
193,"The Aylesbray Lodge Guest House has super welcoming staff, but sometimes people complain they are understaffed."
196,"The quality of the service can really vary there. Will that be okay, or should I look at one of the other upscale options?"
197,All of the reviews I found for University Arms Hotel say that the rooms are all large. Does that sound good?
198,"People are split in their opinions of the portions sizes. The portions are being described as puny by some, and enough to leave you stuffed by others."
200,The Limehouse guesthouse is a wonderfully quiet hotel with comfy beds. Is there anything else I can help you with?
202,The portions at the City Stop Restaurants are reviewed as very tiny. Would you like me to find another restaurant that serves larger portions?
204,"According to the reviews I have on hand, the opinions are mixed. 66% thought they were too small and 33% thought they were large."
205,"According to the reviews I have on hand for that location, the location itself is convenient, nice, really good, and strategically located."
208,"No, there shouldn't be any dirty bathrooms. Past guests at the Worth House have commented that the bathrooms are spotless and some of the cleanest bathrooms they've seen."
209,A guest was impressed by the big room. Very spacious and accommodating. Made the whole trip comfortable.
217,"The Eraina restaurant lacks an outdoor seating area, while the Michaelhouse Cafe does feature both indoor and outdoor."
219,The views at the Travellers Rest are mixed and mediocre while that at the Graffiti range from lackluster to spectacular.
221,"According to past guests of University Arms Hotel, there is complimentary wifi. However, one past guest said that it was slow."
224,"Most Reviewers said that the room was too small. However, one person said that the large room made their experience great."
225,The bathrooms at the Express by Holiday Inn Cambridge are seen by the majority of previous guests as being lacking in cleanliness.
230,"People differ in their opinions of the cleanliness. They have been described as pristine, but they've also been described as having dust and grime in the less used spaces of the room."
231,"Reviews are mixed with some saying that it's quite spacious, while others have said they could have used more space."
232,"Hamilton Lodge offers a variety of breakfast options, but I don't see anything that specifically mentions a Continental breakfast. Would you like to contact the hotel to ask them directly?"
233,"Yes, the bathrooms at Leverton House do seem to be very clean. Past guests have even described them as sparkling clean."
234,"Yes, it's very quiet, and suitable for sleeping or doing work. There are no loud background noises here normally."
238,"According to the reviews I have on hand for that location, the opinions are mixed.  One third found they needed to be cleaned on arrival, while two thirds found them nice, clean and pristine."
240,"I don't see a group rate, but this B&B provides great value for the price. Can I help you with anything else?"
242,"Reviews on bathroom cleanliness at the Ashley hotel are mixed, with half claiming the bathrooms are spotless and modern and half claiming they had to ask multiple times for them to be cleaned."
244,"Yes, those that have previously stayed at the Rosa's Bed and Breakfast have enjoyed the tasty breakfast options."
245,Yes it does according to the reviews left by previous customers.   The reviews stated that places makes gor a great getaway however others have said it was annoying and loud.
246,The housekeeping standards at the Express by Holiday Inn Cambridge vary greatly as half the rooms are pristine and the others unkempt.
249,Only one review addressed non-alcoholic drinks and the reviewer was disappointed with the available options. Do you have any other questions?
251,Most reviewers said that the bathrooms were very clean. Only one person said that they had a dirty bathroom.
252,"Yes, Charlie Chan serves alcoholic beverages. They have an extensive cocktail menu to pick from. Want a reservation?"
253,"Yes, the Arbury Lodge Guesthouse is considered by previous customers to be a good value for the money."
254,One reviewer complained about the limited options for non-alcoholic drinks. Do you have any other questions?
255,The reviews on the noise are very good with customers saying it's quiet and great for a light sleeper like them. Would you like to know more about them?
258,"The Hobsons House guesthouse does have free wifi available, but it is slow. Do you need anything else?"
261,Those that have stayed at the Kirkwood House found the location to be lackluster and not one of its best features.
263,All of the reviewers loved the large portion sizes at la raza. Is there any other information that you need?
265,"According to two recent reviews left by guest, yes. Aylesbray Lodge Guest House does offer comfortable beds."
266,"Yes, they do serve drinks at Tang Chinese. The reviews are a little mixed with some customers saying the selection and prices could be better while some were okay with the drinks. Would you like to know more?"
267,"Yes, it does appear you can get a good breakfast at Acorn Guest House. Past guests talk about many options, including a full English breakfast."
269,The El Shaddai staff are very friendly and welcoming. They are remarkable and are ready to ease  your transition as you visit the facility.
272,"Most people seem to like the location of Ali Baba, but there are comments that it is a bit hard to get to."
273,"Bloomsbury Restaurant seems to be in a nice location, but the opinions of the location of The Varsity Restaurant are more mixed."
275,"Yes, Shiraz Restaurant does offer nice views of the city. Past guests have talked about the view overlooking the town."
285,"The Autumn House is perfectly located in a quiet area, within walking distance to many downtown shops and public transportation."
286,The breakfast options at Huntingdon Marriott Hotel includes continental and buffet breakfast options. It is not free.
287,The reviews by the customers who ordered the Afternoon Tea are very high. Would you like to make a reservation?
288,"According to some customers, one shouldn't expect a quality service experience at Pizza Hut City Centre."
291,The El Shaddai has pretty good reviews about the cleanliness of their bathrooms. Want to make a reservation?
295,The majority of those that previously dined at the Panahar restaurant thought that the Naan and overall food quality was average and a disappointment.
296,"For the majority of visitors, the portions given at the Royal Standard were filling, great, generous, and sufficient."
297,"Guests at the Ashley had very positive things to say, while reviews are more mixed for Lovell Lodge. Would you like to book a room at the Ashley?"
298,"Yes, I can. Bangkok City gets some mixed reviews on their views with some saying it has a nice view while others were not pleased with theirs. Would you like me to find a place with better ratings on the view?"
299,"Yes, guests with previous experience were thrilled to be able to sit outdoors when dining at Don Pasquale Pizzeria."
300,The majority of customers thought they got great service while others feel the service was average and mediocre. Would you like to check out other places?
307,"After a long trip, those that select to stay at the Gonville Hotel will find comfortable beds offered within its rooms."
308,They are comfortabl.  Guests have said that the beds were really comfortable and felt like they was at home.
309,The restaurant Loch Fyne isn't the place to order non-alcoholic drinks as they have a limited selection in the eyes of some of their customers.
312,"A mixed bag of reviews as far the room space. One said the room was too tiny while another said room was nice and big,which made them very comfortable."
316,The view at the La Margherita is basically the parking lot. Would you like me to a restaurant with a better view?
320,"Yes, La Mimosa does serve alcohol. The reviews are a little mixed with most customers saying the drinks were reasonably priced and high-quality. Other guests felt the drinks were too expensive and mediocre. Would you like to know more about them?"
321,There are mixed reviews about the location of the restaurant. Some people thought that the restaurant was very convenient and a good part of town. Others did not like the location.
326,"According to the reviews I have on hand for this location, the opinions are mostly positive, with three quarters claiming the beds are comfortable, sometimes more so than at home, and one quarter claiming they were lumpy and uncomfortable"
328,Guest reviews of cleanliness at Lovell Lodge are pretty mixed. That's too bad. Should I find another option for you?
329,"The Bridge Guest House is located in an area with easy access, and about half of guests said it was a good location.The other half said it was mediocre."
334,"One reviewer said The Gardenia's location wasn't great, but the others said that it was convenient and was located behind the movie theatre."
336,"Yes, the Carolina Bed and Breakfast can be considered a quiet place to stay, as guests aren't disturbed in their peaceful rooms."
338,"The serving sizes at Saint Johns Chop House are plentiful according to two reviewers, but one person did say they wished they were bigger."
340,"Yes, those that have eaten at the Curry Garden would recommend the establishment for atmosphere, but perhaps not the food."
342,"The Cambridge Belfry is located in a really loud area, but I only found one guest review about noise. Do you want to look elsewhere?"
343,To the reviewers thought that the location was great and close to amenities. One review said that the location was not good.
344,The Riverside Brasserie has friendly and polite service staff according to guests. Only one person complained about them being 'meh'.
345,The customer reviews unanimously praised the friendly and welcoming staff. Would you like to go ahead and book a room?
346,The Nandos staff are lacking at some personable abilities and they are a bit slow in providing service to their guests.
347,"The majority of reviews for this hotel seem to think that it is on the pricey side. Although, some guests thought the hotel was a good value considering the quality."
351,"No, unfortunately, the rooms aren't known to be thoroughly cleaned before each guest visits at the Alpha-Milton Guest House."
353,Reviewers called the service at Bloomsbury Restaurant mediocre and reviews were mixed at The Varsity Restaurant with service called great and attentive but also slow. Do you have any other questions?
354,The reviews are positive with guests liking their spacious rooms. Would you like me to see if they have some of their larger rooms available right now?
355,"If you're looking for a wide range of soft drink options, then Grafton Hotel Restaurant has a few non-alcoholic selections."
357,"The majority of customers say that the portion sizes are large there, but one customer actually said the portions were too small for their group."
358,"Yes, those that have previously dined at the Little Seoul state that it features an extensive menu of non-alcoholic drinks."
359,"The portion sizes at Tandoor Palace are generous, which may make up for a mediocre atmosphere. Does that work for you?"
362,Royal Spice is in a nice location conveniently located in a nice part of town. Should I book a table for you?
363,The Express by Holiday Inn Cambridge has a couple reviews that say its too expensive for what you get.
364,"Most people feel that the breakfast at the Allenbell is good, with a lot of variety, but there is a comment saying that the breakfast was small in quantity."
365,The Gandhi has a nice area for outdoor dining. Is there anything else I can find out for you about The Gandhi?
366,The breakfast served to guests at the Autumn House are considered amazing by former guests and of nice variety.
367,"Patrons do not like the service.  They describe it as slow, with attitude that makes guests feel unwanted.  Want more info or to keep searching?"
370,The staff at the Acorn Guest House are very welcoming and smiley. Would you like to make a reservation?
372,"While the location of the Archway House is seen as mediocre and could be improved, others thought it was perfectly situated."
373,The City Centre North B and B is located in a really great area. It is within walking distance to a lot of areas and is central to everything. Some people think it is in an average location though.
374,"The staff is described as ""just okay,"" not a very ringing endorsement. Would you like me to find you another option?"
378,"The Hobsons House has really comfortable beds according to most, only one person said the bed was not comfortable for them."
380,"No, guests that have stayed at the Leverton House are split in the middle in terms of the bed quality with half stating they were painful and the rest, comfortable."
383,"No, quite the opposite as the almost every previous patron wished that the portions provided at the Sesame Restaurant and Bar were more plentiful."
384,"The Hamilton Lodge has really gross bathrooms according to a lot of guests. Some people said their bathrooms were clean, but they were the minority."
385,"Some people do find that the portions are large, but others feel they are quite small, and not worth the price."
386,Yes it does. Actually it has one of the best decors around and am certain that your date will be impressed.
387,"The Ashley Hotel gets some mixed reviews on the internet. Some guest say they loved the fast, reliable internet for all the work they had to do. Others have found it to be very slow and hard to work. Would you like me to check out some other places with better ratings?"
393,Guests of The Lensfield Hotel found the WiFi free but not great.  Is there anything else I can help you with?
395,All of the reviewers enjoyed the location at the restaurant. Is there anything else you need to know?
397,"Yes, the Cambridge Chop House has pleasant outdoor dining which guests found to be quite nice. Do you want to make a booking?"
401,The JinLing Noodle Bar has indoor decor that is not too fancy or attractive. Do you want to make a reservation anyway?
402,The reviews have customers saying the Escargot at the City Stop is delicious and very affordable. Would you like to know anything else about them?
406,"The Kirkwood house is in a not-so-great location according to one guest, and there isn't much to do around it."
408,Home from Home hjas a lot of reviews that say that the bathrooms are really dirty. Only two people felt like it was clean while four felt they were gross.
409,The Charlie Chan restaurant is known more for their food than their atmosphere which is rated lower than other places. Would you like me to find another Chinese restaurant for you?
411,There is outdoor seating available at the Curry Garden. The outdoor dining area does offer a view of the surrounding mountains.
413,"Reviewers have praised the service at Wagamama, calling it attentive and responsive. Would you like to make a reservation?"
416,The bathrooms at Finches Bed and Breakfast are clean. Is there anything else I can help you with today?
417,"According to a review, the City Centre North B and B offers fast and stable WiFi. Do you want to book a room there?"
418,"Yes, the city centre location has a great view. Can I answer anything else, or would you like to book a table?"
419,The Yu Garden has better food than decor so it depends what you're looking for. Would you like me to find another place for you?
421,"Yes, staff at Acorn Guest House are friendly and helpful. Can I answer any other questions for you or shall I book a room?"
422,The Nirala is in a great location that is easy to get to. I am not sure if it is safe or if there are interesting things to do.
423,"Yes, those seeking to dine at a location with an outdoor dining area will be satisfied with the Missing Sock."
424,I was able to find one review of the Stazione restaurant and coffee bar that said it had a good atmosphere.
425,"The staff at the Alpha-Milton Guest House, which you are inquiring about, can be friendly and courteous, although some guests also reported at least one instance to the contrary."
426,There are mixed reviews about the portion size. Some people say the portions are tiny and some say they are large and filling.
428,"No, Kirkwood House provides free wifi for their guests during their stay. Would you like help booking a room?"
431,Those choosing to stay at the Gonville Hotel guests should expect to have WIFI available at a no extra cost.
433,"Yes, for the most part customers believe that the serving portions at the Lucky Star restaurant are fair, and generous even."
434,"Yes, Kirkwood House offers free wi-fi which is available everywhere on site. Can I be of further assistance?"
435,"I am not sure if the Prezzo has a nice atmosphere, as I couldn't find any reviews that talked about it. Would you like to know anything else?"
436,"Yes, the dosas do seem to be a good value for the money at Tandoori Palace. A past customer who ordered them said they were quite reasonably priced."
437,"The Meghna has a really weird atmosphere according to one person, and there are lots of creepy people apparently. Some people found it to be amazing, still."
439,One previous diner commented on the nice view that they had of the lake outside of Pipasha. Do you need more information?
442,"Yes, the Saffron Brasserie does in fact feature an area with outdoor seating which is enjoyed by its customers."
444,Portion size at the Bedouin restaurant depends heavily on the individual diner as half would state they're small while the rest say they're hefty.
447,"The beds at the Avalon have been found by previous guests to be both comfortable and super uncomfortable, so the result depends on the individual's particular tastes."
448,The Allenbell does provide good value for the money as the majority of its patrons would judge the prices as reasonable.
449,"According to previous patrons of the Kohinoor establishment, the restaurant is located in a nice part of town that's easy to find."
450,The Avalon has such a wide variety of delicious foods available for breakfast including a full English breakfast for an affordable fee.
451,Unfortunately the views are the highlight of the Shanghai Family Restaurant as most customers don't enjoy watching a parking lot.
453,There are mixed reviews about the portion size. Some say the portions are large and others say that they are too small. They also may be filling.
454,"Sometimes it's great, other times it can have a bit of an offputting atmosphere. Would you like to try a different option?"
456,"Yes, they do seem to be able to accommodate the need for good wifi. A past guest entioned that it was super fast."
457,The reviews are somewhat mixed with some saying the views were romantic and really nice while others say it was average and just a building wall. Would you like to know more about them?
463,"According to the reviews that I have on hand for this location, the opinions are mixed.  Two thirds found the service prompt and great, while one third found it not that good."
464,The Ali Baba has a beautiful view of the entire city. Is there anything else you'd like to know about them?
466,Other customers have mentioned that the dining area wasn't very impressive and the ambiance was only mediocre.
468,The Gourmet Burger Kitchen is considered a nice addition to the neighborhood and a quality place to eat and enjoy a view.
469,"Yes, there does seem to be a lot of activities in the area. It is described as having access to most important things."
471,"According to the reviews I have on hand for that location, the rooms there are spacious, have a lot of space, and are bigger than average!"
473,Arbury Lodge Guesthouse offers clean rooms for their guests to enjoy during their stay.  Would you like me to book you a room there?
475,The El Shaddai offers guests a great value for money and will leave customers thinking they should have paid more.
477,A and B Guest House according to past patrons do not offer clean bathrooms for guests.  Can I help you with anything else?
479,"It looks like Alexander Bed and Breakfast has very clean rooms according to the guests, there was only one person who felt the rooms were not up to their needs."
481,"The Bridge Guest House has about two reviews for having nice staff, and two reviews that say the staff is pretty much horrible. Would you like to look at another location?"
482,The view varies quite a lot depending on your table. Are you interested in booking or would you like another option?
483,"Oh yes, especially because the location is so nice and central many people felt the value compared to the proce was warranted."
484,Lovell Lodge received mixed reviews for bathroom cleanliness being called exceptionally clean and pristine but others finding it not up to their standards. Do you want to book it?
489,The Gardenia's non-alcoholic drink menu is limited. Would you like me to find a place that has more options?
490,"According to reviews left by previous customers the view was nice and romantic, but others have said they wish it was better."
492,"While the University Arms Hotel offers WIFI that's free of charge, the internet is slow and unresponsive."
495,Alpha-Milton Guest House gets mixed reviews regarding their staff.  Some say the staff is not professional and others say they are courteous.  Can I help you with anything else?
496,"Yes, reviewers have said that Cityroomz is located in area where there are not disruptions from outside noise."
497,"Yes, La Mimosa get good reviews on their non-alcoholic drinks menu. Would you like to know more about them?"
499,The staff at Finches Bed and Breakfast have some quality staff that are very helpful and also they have staff that are below average but overall your stay should be good.
503,"Not according to past guests, most were surprised by how expensive it was and just settled for it anyway. Would you like to know more?"
504,This is inconclusive as some of the past guests say that the rooms were very quiet while others say that they were noisy.
505,The views from Pizza Hut Cherry Hinton are apparently amazing and you can even see the mountains. Want to make a booking?
506,The Express By Holiday Inn Cambridge has breakfast options that are plentiful and very delicious. The breakfast is free for all guests.
507,"Some past guests have found the staff at Finches Bed and Breakfast to be less than professional, but others were pleased with the  service they received."
509,"The Grafton Hotel has a warm, welcoming atmosphere. Is there anything else you'd like to know about them?"
513,"Guests that have stayed at the University Arms Hotel are split when it comes to the value of one's money, as half thought it was overpriced and the other, worthwhile."
515,"The atmosphere is described as anywhere from mediocre to romantic. With the right seating, you can obtain a pretty, picturesque view of the outdoors."
516,"While the majority of people feel that the service at the Slug and Lettuce is very good and helpful, not everyone feels that they got good service."
517,"I'm sorry, the Lan Hong House does not have an outdoor dining section. Would you like me to find a place that does?"
518,"Yes, all of the reviews that I found said that the view from that restaurant is very good. Would you like to make your reservation now?"
519,"The reviews for the atmosphere at Rajmahal are generally good with customers saying it's relaxing, nice views, not very loud. But there were also customers who thought it was just mediocre at best. Would you like to know anything else about them?"
521,Some customers have stated that the locatin was hard to find or just mediocre.  The outdoor dining was wonderful and the location was nice according to others.
522,The Missing Sock offers many outdoor seats that are perfect for dining out. Would you like to make a reservation?
523,All but one of the reviewers thought that the service was very good. The One reviewer who didn't like the service just thought it could be a little better.
530,"Yes, Rosa's Bed and Breakfast  is quite a good value. Would you like me to reserve a room for you there or can I answer any other questions??"
532,"Most people say that the University Arms Hotel is overpriced and really expensive, and even though there are a lot of amenities included, there are more affordable options for hotels in the same area. A few other guests didn't have any issues with the price, and thought it was worth the value."
533,"There are downsides to the service provided at the Cambridge Lodge Restaurant as at times they can be slow and inattentive, but the rest of the time they're exceptional."
538,"According to the reviews I have on hand for this location, the opinions are mostly positive.  Only one quarter found it extremely out of the way, while three quarters found it perfect, easy to reach attractions and public trans, and a good location overall."
539,"Yes, guests that select to eat at the Prezzo restaurant will enjoy the ability to dine outdoors on the patio."
543,I only have one review from a guest of Alexander Bed and Breakfast. This guest was satisfied with the comfort of the bed.
544,"More often than not, a visitor of the Royal Standard restaurant will approve of the filling and generous portions of food served."
548,Some guests have said that it is a little pricey for what it lacks and some small issues.  Other guests have said that it was extremely cheap and a great value for the money.
550,Both Aylesbray Lodge Guest House and Rosa's Bed and Breakfast have really comfortable beds. What else are you looking for in a hotel in order to narrow down your choice?
551,I am not sure how stable it is but I do know that it is free. One customer said it was super fast and another customer said it was slow.
552,"Restaurant Alimentum is well known for having a spectacular waitstaff. If you'd still like to book a table, I can certainly help you with that."
554,"Opinions of the Varsity Restaurant's location range from mediocre to prime, while the area of the Bloomsbury Restaurant is enjoyed by all."
557,"People have differing opinions on the service. Some people felt the service was mediocre, but others called the service fantastic."
558,Most guests agreed that the rooms were clean. There was however one that didn't think the room was up to par.
559,"I can check that for you. As per the customer reviews, The Curry Prince restaurant has a really nice view. Anything else?"
561,The majority of guests at Hobsons House have rated the beds as very comfortable to sleep in. A small minority have disagreed.
563,"The Riverside Brasserie can be considered mediocre for its location in a stripmall, but most see it as a positive feature."
564,The Missing Sock has great customer service and their customers are very happy with them. Would you like to know more about it?
566,"According to the reviews that I have on hand for this location, the location has been described as nice, easy to get to, and in a quaint section of the downtown."
567,No. Arbury Lodge Guesthouse does not charge a separate fee to access the Wi-Fi. Speeds can be variable depending on a variety of factors.
568,There doesn't seem to be a general consensus among customers. Half said that the persons were huge and half said they were small.
569,"Yes, the wait staff at the Rajmahal is seen as been pleasant and accommodating, providing prompt service to its guests."
570,"Customers have stated that the bathrooms at Worthhouse were the cleanest, and spotless, even the faucets."
571,"If seated by the window at Restaurant Alimentum, one can expect an outstanding view of the mountains, but the view isn't always spectacular."
